id,match_id,minute,second,period,event_type,outcome,team_name,player_name,x,y,is_shot,is_goal,qualifier_text,body_part,shot_zone,shot_distance,shot_angle,is_big_chance,is_header,is_right_foot,is_left_foot,is_penalty,is_volley,first_touch,from_corner,is_counter
277732,217,20,4.0,FirstHalf,MissedShots,Successful,Arsenal,Ben White,84.7,37.8,1,0,fastbreak goalmouthz 68.1 goalmouthy 56.6 leftfoot boxcentre assisted firsttouch zone center relatedeventid 166 intentionalassist highleft,Left foot,Box,19.568597292601225,0.6731447743851662,0,0,0,1,0,0,1,0,1
277868,217,28,15.0,FirstHalf,SavedShot,Successful,Arsenal,Noni Madueke,84.6,34.8,1,0,blockedy 38.8 goalmouthz 19 firsttouch oppositerelatedevent 195 volley lowcentre blockedx 88.4 boxright goalmouthy 51.2 zone center fromcorner leftfoot blocked,Left foot,Box,21.637929660667638,0.7788623087515171,0,0,0,1,0,1,1,1,0
277870,217,28,17.0,FirstHalf,MissedShots,Successful,Arsenal,Gabriel Martinelli,97.3,58.9,1,0,goalmouthz 1.4 firsttouch bigchance goalmouthy 43.9 leftfoot smallboxleft zone center fromcorner,Left foot,SmallBox,9.300537618869138,1.2762499437954673,1,0,0,1,0,0,1,1,0
278020,217,38,4.0,FirstHalf,SavedShot,Successful,Nottingham Forest,Callum Hudson-Odoi,81.6,63.4,1,0,rightfoot goalmouthy 50.1 zone center blockedy 62.0 outofboxcentre setpiece blockedx 83.6 oppositerelatedevent 358 individualplay goalmouthz 19 blocked lowcentre,Right foot,Box,22.76224944947226,0.6294422811576142,0,0,1,0,0,0,0,0,0
278025,217,38,13.0,FirstHalf,MissedShots,Successful,Nottingham Forest,Ola Aina,75.6,31.5,1,0,individualplay setpiece leftfoot zone center outofboxcentre missright goalmouthy 28.7 goalmouthz 4.2 volley firsttouch,Left foot,Box,30.620418024579617,0.6487264041492412,0,0,0,1,0,1,1,0,0
278056,217,40,11.0,FirstHalf,SavedShot,Successful,Arsenal,Viktor Gyökeres,81.2,47.4,1,0,oppositerelatedevent 277 zone center individualplay lowleft outofboxcentre goalmouthz 19 goalmouthy 53.5 blockedy 47.8 blockedx 82.5 fastbreak rightfoot blocked,Right foot,Box,18.978935691971767,0.13742614549694326,0,0,1,0,0,0,0,0,1
278364,217,55,31.0,SecondHalf,MissedShots,Successful,Nottingham Forest,Morgan Gibbs-White,81.3,52.3,1,0,relatedeventid 453 zone center intentionalassist assisted missright outofboxcentre regularplay goalmouthy 33.3 goalmouthz 6.9 rightfoot,Right foot,Box,18.840912929048848,0.12238001357279871,0,0,1,0,0,0,0,0,0
278407,217,58,15.0,SecondHalf,SavedShot,Successful,Arsenal,Declan Rice,85.6,50.4,1,0,regularplay boxcentre firsttouch blockedx 98.6 blockedy 50.2 goalmouthy 48.4 relatedeventid 557 lowcentre rightfoot goalmouthz 15.8 volley zone center intentionalassist assisted oppositerelatedevent 476,Right foot,Box,14.40555448429529,0.02777063659342093,0,0,1,0,0,1,1,0,0
278434,217,60,27.0,SecondHalf,SavedShot,Successful,Nottingham Forest,Nicolás Domínguez,80.8,61.5,1,0,blockedx 82.3 regularplay individualplay zone center outofboxcentre lowleft assisted blockedy 60.8 goalmouthz 19 blocked goalmouthy 52.8 oppositerelatedevent 568 relatedeventid 494 rightfoot,Right foot,Box,22.38057193192346,0.5396532168956646,0,0,1,0,0,0,0,0,0
278496,217,64,38.0,SecondHalf,SavedShot,Successful,Arsenal,Bukayo Saka,91.7,46.9,1,0,head firsttouch oppositerelatedevent 519 blockedy 50.4 boxcentre goalmouthy 52.9 zone center goalmouthz 23.4 blockedx 98.4 regularplay relatedeventid 609 assisted bigchance highleft intentionalassist,Head,Box,8.860022573334673,0.3574496670759664,1,1,0,0,0,0,1,0,0
278553,217,69,6.0,SecondHalf,SavedShot,Successful,Arsenal,Gabriel Jesus,98.0,47.6,1,0,goalmouthy 49.5 smallboxcentre bigchance goalmouthz 13.9 blockedx 99.0 blockedy 48.4 setpiece lowcentre intentionalassist assisted oppositerelatedevent 536 zone center volley firsttouch relatedeventid 654 rightfoot,Right foot,SmallBox,3.124099870362661,0.8760580505981931,1,0,1,0,0,1,1,0,0
278562,217,69,47.0,SecondHalf,SavedShot,Successful,Arsenal,Gabriel Magalhães,93.7,49.8,1,0,boxcentre firsttouch zone center intentionalassist assisted lowcentre goalmouthy 50.7 goalmouthz 19 sixyardblock oppositerelatedevent 539 blocked head fromcorner blockedy 50 relatedeventid 657 blockedx 95.1,Head,Box,6.303173803727766,0.03173537352845837,0,1,0,0,0,0,1,1,0
278575,217,71,1.0,SecondHalf,MissedShots,Successful,Arsenal,Mikel Merino,92.3,46.8,1,0,relatedeventid 667 boxcentre firsttouch zone center head setpiece bigchance goalmouthz 13.9 goalmouthy 42.0 assisted intentionalassist,Head,Box,8.33846508657319,0.3938686107363616,1,1,0,0,0,0,1,0,0
278679,217,81,10.0,SecondHalf,SavedShot,Successful,Arsenal,William Saliba,96.0,42.4,1,0,goalmouthy 47.9 lowright blocked goalmouthz 19 smallboxright assisted oppositerelatedevent 600 firsttouch head relatedeventid 725 blockedy 43.9 blockedx 97.1 sixyardblock zone center intentionalassist fromcorner,Head,SmallBox,8.588364221433556,1.0863183977578734,0,1,0,0,0,0,1,1,0
278746,217,86,10.0,SecondHalf,MissedShots,Successful,Nottingham Forest,Morgan Gibbs-White,81.2,60.9,1,0,relatedeventid 631 firsttouch goalmouthy 34.6 goalmouthz 13.9 rightfoot intentionalassist zone center outofboxcentre missright assisted regularplay,Right foot,Box,21.73131381210073,0.5254245705611558,0,0,1,0,0,0,1,0,0
278818,217,91,52.0,SecondHalf,MissedShots,Successful,Arsenal,Jurriën Timber,92.3,52.8,1,0,regularplay goalmouthz 23.6 zone center boxcentre assisted missleft intentionalassist relatedeventid 818 head goalmouthy 66.4 firsttouch,Head,Box,8.193289937503739,0.34877100358390656,0,1,0,0,0,0,1,0,0
